epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,11765.9,1.53132,1.09034,0.94465,0.75555,0.61225,0.67607,0.4843,1.49129,1.00603,0.95456,0.000425006,0.000425006,0.000425006
58,12182.8,1.54932,1.08268,0.94462,0.73677,0.6222,0.68338,0.48694,1.4739,1.00705,0.9524,0.000422096,0.000422096,0.000422096
59,12428.6,1.488,1.04642,0.93845,0.73837,0.64903,0.70105,0.49825,1.48334,0.99598,0.9534,0.000419185,0.000419185,0.000419185
60,12646.3,1.53776,1.07052,0.94593,0.7347,0.64851,0.69341,0.49605,1.47944,0.99666,0.95324,0.000416275,0.000416275,0.000416275
61,12871.2,1.49078,1.04762,0.94144,0.74019,0.60066,0.66639,0.46496,1.52155,1.04563,0.95712,0.000413364,0.000413364,0.000413364
62,13053,1.51443,1.04807,0.93791,0.76845,0.6312,0.69234,0.50658,1.46163,0.98556,0.94759,0.000410453,0.000410453,0.000410453
63,13198.3,1.53068,1.05359,0.94367,0.80197,0.61907,0.69656,0.50743,1.46199,0.97887,0.94936,0.000407543,0.000407543,0.000407543
64,13397.8,1.51361,1.05365,0.94309,0.77617,0.64589,0.70524,0.50068,1.46816,0.97484,0.94775,0.000404632,0.000404632,0.000404632
65,13700.2,1.49767,1.03376,0.94168,0.76249,0.64447,0.70447,0.50938,1.46618,0.98561,0.94818,0.000401722,0.000401722,0.000401722
66,13936.1,1.47768,1.01577,0.93733,0.76084,0.63956,0.70546,0.49849,1.49064,1.01093,0.95193,0.000398811,0.000398811,0.000398811
67,14094.6,1.51964,1.03546,0.94664,0.72784,0.63288,0.69188,0.49676,1.46624,0.99502,0.94831,0.0003959,0.0003959,0.0003959
68,14430.8,1.51475,1.03833,0.9394,0.76586,0.65453,0.7058,0.50961,1.4562,0.97077,0.95104,0.00039299,0.00039299,0.00039299
69,14890.2,1.53741,1.03737,0.94406,0.76094,0.65233,0.71377,0.5124,1.45969,0.97739,0.94626,0.000390079,0.000390079,0.000390079
70,14998,1.51163,1.03156,0.94261,0.77437,0.66477,0.72556,0.52028,1.4451,0.96218,0.94595,0.000387169,0.000387169,0.000387169
71,15133.5,1.49769,1.01034,0.93943,0.79582,0.65185,0.712,0.51618,1.44167,0.96804,0.94206,0.000384258,0.000384258,0.000384258
72,15287.5,1.52404,1.02812,0.94538,0.78019,0.65637,0.71648,0.47846,1.5615,1.01827,0.96912,0.000381347,0.000381347,0.000381347
73,15491.3,1.52477,1.01902,0.9415,0.80002,0.66105,0.73435,0.52103,1.45022,0.94364,0.94392,0.000378437,0.000378437,0.000378437
74,15675.7,1.49073,0.99905,0.93823,0.76123,0.68323,0.73877,0.52754,1.44436,0.94088,0.94303,0.000375526,0.000375526,0.000375526
75,15830.5,1.51861,1.01179,0.93674,0.81234,0.67036,0.73931,0.53543,1.43724,0.945,0.94041,0.000372616,0.000372616,0.000372616
76,16163.6,1.48742,1.00199,0.93425,0.77974,0.67932,0.73004,0.52332,1.47198,0.95829,0.94532,0.000369705,0.000369705,0.000369705
77,16326,1.47135,0.98446,0.93114,0.79186,0.68806,0.75109,0.5386,1.4384,0.92772,0.93891,0.000366794,0.000366794,0.000366794
78,16439.7,1.48078,0.9854,0.93882,0.77858,0.68064,0.74201,0.52922,1.43884,0.9243,0.93858,0.000363884,0.000363884,0.000363884
79,16589.5,1.51784,0.99984,0.93299,0.83091,0.66886,0.7442,0.54265,1.42801,0.92781,0.94128,0.000360973,0.000360973,0.000360973
80,16740,1.45982,0.96814,0.93145,0.8177,0.67728,0.74099,0.52953,1.45732,0.93252,0.94626,0.000358063,0.000358063,0.000358063
81,16965.2,1.49231,0.98395,0.93292,0.80061,0.68003,0.74855,0.53179,1.44203,0.92036,0.94039,0.000355152,0.000355152,0.000355152
82,17120.4,1.45098,0.96259,0.9283,0.79587,0.68906,0.7453,0.54173,1.41957,0.91352,0.937,0.000352241,0.000352241,0.000352241
83,17433.4,1.46228,0.9654,0.92868,0.81026,0.68114,0.74971,0.54207,1.43345,0.92134,0.93932,0.000349331,0.000349331,0.000349331
84,17617.5,1.46947,0.96208,0.92688,0.85248,0.65896,0.74525,0.53663,1.45022,0.92207,0.94407,0.00034642,0.00034642,0.00034642
85,17711,1.48075,0.98211,0.93489,0.81736,0.66797,0.74244,0.52028,1.50628,0.93484,0.95263,0.00034351,0.00034351,0.00034351
86,18027.5,1.43566,0.95685,0.92351,0.82748,0.68327,0.752,0.5525,1.4083,0.90901,0.93442,0.000340599,0.000340599,0.000340599
87,18216.7,1.46034,0.96343,0.92228,0.80344,0.68387,0.74499,0.54402,1.42173,0.91312,0.93772,0.000337688,0.000337688,0.000337688
88,18391.9,1.43777,0.95144,0.92207,0.81489,0.69425,0.76034,0.54852,1.41503,0.90028,0.93626,0.000334778,0.000334778,0.000334778
89,18593.2,1.45784,0.95129,0.92689,0.81828,0.6814,0.74644,0.54582,1.41447,0.90887,0.93486,0.000331867,0.000331867,0.000331867
90,18788.2,1.43836,0.94215,0.92232,0.83677,0.68317,0.75715,0.55424,1.405,0.87849,0.93117,0.000328957,0.000328957,0.000328957
91,18931.9,1.48954,0.96453,0.92649,0.80474,0.69749,0.75347,0.53466,1.43753,0.88998,0.93783,0.000326046,0.000326046,0.000326046
92,19121.9,1.46062,0.93544,0.92876,0.79494,0.692,0.75398,0.55272,1.40359,0.909,0.93273,0.000323135,0.000323135,0.000323135
93,19310.7,1.42436,0.92913,0.92177,0.84615,0.69816,0.76947,0.56848,1.39209,0.87931,0.92955,0.000320225,0.000320225,0.000320225
94,19468.3,1.42881,0.92139,0.92217,0.79531,0.70741,0.76193,0.55751,1.39271,0.87665,0.92932,0.000317314,0.000317314,0.000317314
95,19722.3,1.43763,0.93114,0.91721,0.81649,0.69846,0.76206,0.56027,1.39588,0.87605,0.92854,0.000314404,0.000314404,0.000314404
96,20102.2,1.43068,0.93482,0.91675,0.819,0.70615,0.76946,0.5527,1.41733,0.88097,0.9328,0.000311493,0.000311493,0.000311493
97,20357.6,1.42935,0.92802,0.92262,0.82658,0.69693,0.7631,0.55261,1.40654,0.88638,0.93265,0.000308582,0.000308582,0.000308582
98,20514.2,1.41256,0.91602,0.9185,0.83524,0.69636,0.77466,0.56862,1.38787,0.87048,0.92806,0.000305672,0.000305672,0.000305672
